feature,importance
cv_24h,0.1757753219795515
deviation_from_mean,0.08622990347915442
z_score_consumer,0.061551816052982086
spike_count_24h,0.06033653917707572
deviation_ratio,0.05873712846904395
rolling_std_72,0.0564243725012612
rolling_std_24,0.05631351510099213
rolling_max_72,0.04976817426042777
rolling_min_72,0.04052532250190993
range_72h,0.03903652442178136
rolling_max_24,0.038239602275209256
rolling_mean_72,0.03689808672627073
rolling_mean_24,0.03538510032185902
rolling_min_24,0.029931057984956034
range_24h,0.021936298584034186
ratio_to_72h_mean,0.01722742988394006
night_ratio,0.01438965917922052
rolling_std_6,0.013906486814538026
ratio_to_24h_mean,0.012979236927919191
rolling_max_6,0.011636439820740328
consumption_kwh,0.011168822968701052
rolling_mean_6,0.011108808974817476
rolling_min_6,0.010504982131128562
lag_24,0.007677397929211575
lag_1,0.005863856469367741
night_consumption,0.005254989850936927
lag_2,0.005075489062585141
lag_3,0.004835112230112707
hour_cos,0.0034028074412102687
diff_24,0.002336616044422577
diff_3,0.0023069198812199717
diff_1,0.002276201323310678
diff_2,0.002275796667319746
hour_sin,0.0021340752730759985
zero_count_72h,0.0015054665336783387
dow_sin,0.0008935619621795772
is_very_low,0.0008623130206146597
dow_cos,0.0007584198201454792
is_night,0.0006834266559767825
is_business_hours,0.0006517649941478216
zero_count_24h,0.0005735907365658316
is_weekend,0.00034022535070787647
is_spike,0.00027169868966566915
is_zero,9.63952603018242e-06
